State_Name,District_Name,Crop_Year,Season,Crop,Temperature,Humidity,Soil_Moisture,Area,Production
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Moong(Green Gram),36,35,45,1.5,1.1
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Sweet potato,37,40,46,22.0,208.0
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Turmeric,36,41,50,2.0,0.5
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Urad,37,42,55,1.5,1.16
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Banana,36,40,54,593.0,3425.0
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Coconut ,34,45,52,14560.0,71300000.0
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Tapioca,34,55,62,69.0,575.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Arecanut,35,50,59,3100.0,5200.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Other Kharif pulses,25,55,55,668.0,448.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Rice,36,35,45,10779.0,31863.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Banana,37,40,46,1531.0,12073.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Cashewnut,36,41,50,80.0,54.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Coconut ,37,42,55,6992.0,23900000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Dry ginger,36,40,54,352.0,1120.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,other oilseeds,34,45,52,133.0,55.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sugarcane,34,55,62,141.0,3736.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sweet potato,35,50,59,78.0,843.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Tapioca,25,55,55,160.0,2108.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Arecanut,36,35,45,3100.0,5239.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Other Kharif pulses,37,40,46,418.0,199.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Rice,36,41,50,9718.0,27033.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Cashewnut,37,42,55,81.0,33.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Coconut ,36,40,54,7015.0,25250000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Dry ginger,34,45,52,344.0,1124.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sugarcane,34,55,62,81.0,2379.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sweet potato,35,50,59,100.0,5.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,Rice,25,55,55,6854.3,18995.62
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Arecanut,36,35,45,1160.0,3011.7
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Banana,37,40,46,957.57,8582.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Black pepper,36,41,50,175.0,191.14
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Cashewnut,37,42,55,40.5,44.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Coconut ,36,40,54,3575.0,15400000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Dry chillies,34,45,52,235.72,824.3
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Dry ginger,34,55,62,98.66,929.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,other oilseeds,35,50,59,35.62,21.4
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sugarcane,25,55,55,71.3,1500.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sweet potato,36,35,45,30.0,240.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Tapioca,37,40,46,255.0,1420.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Turmeric,36,41,50,68.0,408.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Rice,37,42,55,6791.0,20118.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Sugarcane,36,40,54,73.33,889.2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Arecanut,34,45,52,1296.0,2290.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Arhar/Tur,34,55,62,294.5,90.8
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Black pepper,35,50,59,168.0,13.5
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Cashewnut,25,55,55,84.5,39.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Dry chillies,36,35,45,254.0,402.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Dry ginger,37,40,46,110.0,1011.84
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Groundnut,36,41,50,4.75,6.8
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Maize,37,42,55,86.7,96.4
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Moong(Green Gram),36,40,54,1168.6,556.55
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Sunflower,34,45,52,2.9,1.9
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Sweet potato,34,55,62,109.0,480.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Turmeric,35,50,59,68.0,376.5
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Urad,25,55,55,1059.5,458.79
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Banana,36,35,45,657.0,7968.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Coconut ,37,40,46,3668.0,12700000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Tapioca,36,41,50,186.5,1355.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,Rice,37,42,55,10695.8,31600.82
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Arecanut,36,40,54,3105.0,5267.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Banana,34,45,52,1524.0,10882.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Black pepper,34,55,62,487.0,102.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Cashewnut,35,50,59,81.0,24.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Coconut ,25,55,55,7060.0,26830000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Dry chillies,36,35,45,239.0,20.9
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Dry ginger,37,40,46,352.0,1145.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,other oilseeds,36,41,50,85.1,40.31
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Sugarcane,37,42,55,455.0,13760.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,Rice,36,40,54,10509.37,30760.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Arecanut,34,45,52,3118.0,5182.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Banana,34,55,62,1530.0,11558.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Black pepper,35,50,59,497.0,104.37
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Cashewnut,25,55,55,116.5,26.14
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Coconut ,36,35,45,7110.0,26660000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Dry chillies,37,40,46,340.0,578.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Dry ginger,36,41,50,406.0,1299.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,other oilseeds,37,42,55,82.09,35.51
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Sugarcane,36,40,54,268.0,2879.52
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif     ,Rice,34,45,52,10681.98,29119.66
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Arecanut,34,55,62,3160.67,3975.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Banana,35,50,59,1912.1,17374.4
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Black pepper,25,55,55,570.0,104.36
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Cashewnut,36,35,45,116.5,25.1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Coconut ,37,40,46,7156.7,34750000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Dry chillies,36,41,50,340.0,822.8
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Dry ginger,37,42,55,410.0,1462.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,other oilseeds,36,40,54,89.3,46.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Sugarcane,34,45,52,145.26,1560.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,Rice,34,55,62,8683.38,25870.98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Arecanut,35,50,59,3250.78,3058.46
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Banana,25,55,55,1656.8,10251.13
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Black pepper,36,35,45,656.45,35.95
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Cashewnut,37,40,46,118.5,30.22
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Coconut ,36,41,50,7050.45,26430000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Dry chillies,37,42,55,370.7,877.6
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Dry ginger,36,40,54,200.0,1800.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,other oilseeds,34,45,52,53.55,34.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sugarcane,34,55,62,128.02,2448.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sweet potato,35,50,59,131.9,700.35
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Tapioca,25,55,55,254.5,1480.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Turmeric,36,35,45,81.7,572.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,Rice,37,40,46,921.87,2539.64
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Arecanut,36,41,50,2000.0,2350.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Banana,37,42,55,483.0,4150.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Black pepper,36,40,54,413.1,20.18
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Cashewnut,34,45,52,79.5,26.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Coconut ,34,55,62,3483.09,14190000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Dry chillies,35,50,59,124.6,34.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Dry ginger,25,55,55,100.9,900.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,other oilseeds,36,35,45,24.0,14.98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sugarcane,37,40,46,53.5,999.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sweet potato,36,41,50,30.4,220.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Tapioca,37,42,55,40.0,160.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Turmeric,36,40,54,10.0,60.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Rice,34,45,52,1595.5,3788.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Sugarcane,34,55,62,67.5,402.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Arecanut,35,50,59,1912.0,1900.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Arhar/Tur,25,55,55,20.5,13.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Black pepper,36,35,45,409.0,98.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Cashewnut,37,40,46,15.0,10.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Dry chillies,36,41,50,128.0,148.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Dry ginger,37,42,55,94.0,828.52
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Groundnut,36,40,54,15.5,7.6
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Maize,34,45,52,73.0,253.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Moong(Green Gram),34,55,62,29.9,17.85
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sunflower,35,50,59,1.0,0.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sweet potato,25,55,55,32.0,235.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Turmeric,36,35,45,10.0,105.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Urad,37,40,46,34.0,15.05
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Banana,36,41,50,360.0,5517.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Coconut ,37,42,55,3540.0,11000000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Tapioca,36,40,54,22.5,220.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Arhar/Tur,34,45,52,21400.0,2600.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Bajra,34,55,62,1400.0,500.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Castor seed,35,50,59,1000.0,100.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Cotton(lint),25,55,55,7300.0,9400.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Dry chillies,36,35,45,3700.0,7100.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Groundnut,37,40,46,650800.0,228400.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Horse-gram,36,41,50,3300.0,1000.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Jowar,37,42,55,10100.0,10200.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Korra,36,40,54,2200.0,700.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Maize,34,45,52,2800.0,4900.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Moong(Green Gram),34,55,62,1300.0,500.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Other Kharif pulses,35,50,59,800.0,100.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Ragi,25,55,55,6700.0,11800.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,36,35,45,35600.0,75400.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sugarcane,37,40,46,700.0,72900.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sunflower,36,41,50,35900.0,11100.0
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Tobacco,37,42,55,200.0,200.0
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Dry chillies,36,40,54,100.0,100.0
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Gram,34,45,52,28000.0,14800.0
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Groundnut,34,55,62,20200.0,21700.0
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Horse-gram,35,50,59,600.0,200.0
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Jowar,25,55,55,18800.0,9400.0
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Korra,36,35,45,100.0,100.0
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Maize,37,40,46,600.0,2400.0
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Ragi,36,41,50,600.0,1000.0
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,37,42,55,18000.0,37300.0
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Sunflower,36,40,54,30100.0,11100.0
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Wheat,34,45,52,300.0,200.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Arhar/Tur,34,55,62,27400.0,9100.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Bajra,35,50,59,2600.0,1900.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Castor seed,25,55,55,3200.0,1000.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Cotton(lint),36,35,45,14000.0,12900.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Dry chillies,37,40,46,4000.0,10000.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Groundnut,36,41,50,755200.0,867800.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Horse-gram,37,42,55,2300.0,900.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Jowar,36,40,54,3700.0,5800.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Korra,34,45,52,4600.0,3400.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Maize,34,55,62,3300.0,6700.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Moong(Green Gram),35,50,59,2100.0,1300.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Other Kharif pulses,25,55,55,2000.0,300.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Ragi,36,35,45,7000.0,14900.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Rice,37,40,46,38300.0,96800.0
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Sunflower,36,41,50,21300.0,12200.0
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Dry chillies,37,42,55,200.0,200.0
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Gram,36,40,54,26200.0,25900.0
